description,streetName
"2-pok. oddzielna kuchnia, ul. legnicka 49 PIXEL HOUSE/MAGNOLIA
Wrocław, Dolnośląskie, Fabryczna Dodane o 18:12, 11 marca 2019, ID ogłoszenia: 451502429
Wyróżnij to ogłoszenie Odśwież to ogłoszenie
Oferta od         Osoby prywatnej
        
Poziom         4
Umeblowane         Tak
        
Rodzaj zabudowy         Apartamentowiec
Powierzchnia         48 m²
        
Liczba pokoi         2 pokoje
Czynsz (dodatkowo)         400 zł
         
2-pokojowe mieszkanie w nowym budownictwie w pełnym rozkładzie 48m. plus 2 loggie ponad 6m.

NIERUCHOMOŚĆ
Lokal położony jest na 3-tym piętrze 9-kondygnacyjnego nowoczesnego budynku oddanego w 2018 r. Teren jest monitorowany i strzeżony 24/7.
Mieszkanie jest gotowe do zamieszkania oraz w pełni umeblowane i wyposażone w sprzęt AGD. Wszystkie sprzęty jak i meble nowe, podwyższony standard. Bez prowizji od najemcy, ogłoszenie prywatne. Do zamieszkania od 10.04.

-pokój 1
-pokój 2
-łazienka
-przedpokój
-loggia 1
-loggia 2

LOKALIZACJA PIXEL HOUSE
Jest to centralna część miasta i jedna z bardziej pożądanych lokalizacji, m.in ze względu na sprawne połączenie komunikacją miejską z pozostałymi częściami Wrocławia. W okolicy nie brakuje punktów usługowo-handlowych (Galeria Magnolia), restauracji, kawiarni, terenów zielonych (Park Popowicki), basen wejherowska, siłownia mc fit, Kaufland, Tesco, piekarnia, Biedronka, na dole budynku Żabka.

CENA
2300,- czynsz najmu
400,- czynsz administracyjny
+ prąd według zużycia
kaucja 2600 zł.

KONTAKT.
502 - pokaż numer telefonu -",Legnicka
"Wynajmę mieszkanie w centrum Wrocławia, ul. Walońska. Kawalerka znajduje się w kompleksie apartamentowców Angel Wings/River, w odległości 1 przystanku tramwajowego od Galerii Dominikańskiej, a 2 od Rynku i pl. Grunwaldzkiego. 

Wzdłuż osiedla przebiega nadbrzeżna promenada z zejściem na pomosty widokowe. W budynku znajduje się całodobowa ochrona wraz z monitoringiem.

Mieszkanie w pełni umeblowane, z wyjściem na dziedziniec. Wysoki parter, wysoki standard. Wyposażone w komplet sprzętów AGD i TV. Aktualnie mieszkanie zostało odmalowane w odcień szarości, a meble zostały wymienione na białe i szare. 

W skład opłat (ok. 500zł) wchodzi już m.in. ogrzewanie i woda oraz miejsce parkingowe w parkingu podziemnym. Prąd wg wskazań liczników. Wymagana 1-miesięczna kaucja. 

Idealne dla osób ceniących ciszę, zieleń i komfort, a zarazem bliskość centrum. 

Do zamieszkania OD KWIETNIA  na dłuższy okres. 1600zł+opłaty ok. 500zł. Tel. 660-544-686",Walońska
"Wynajmę wykończone w wysokim standardzie mieszkanie 2 pokojowe przy ul. Igora Strawińskiego we Wrocławiu.
Opłaty dodatkowe ok. 100 zł (zgodnie z obciążeniami zarządcy) + media (woda + prąd + ogrzewanie).
Kaucja 2500 zł.
osoby zainteresowane proszę o kontakt 733 ",Igora Strawińskiego
"Do wynajęcia kawalerka na zamkniętym, strzeżonym osiedlu przy ul. Vivaldiego; na parterze bloku dwu-piętrowego; umeblowana i wyposażona, do zamieszkania od połowy kwietnia.",Antonia Vivaldiego
"Do wynajęcia trzypokojowe mieszkanie zlokalizowane na ul. Wandy Rutkiewicz w bloku z 2007 roku.

Mieszkanie składa się z trzech pokoi (pokój dzienny ok. 21m2, pierwsza sypialnia ok. 11m2, druga sypialnia około 10m2), przestronnej kuchni, łazienki oraz osobnego WC, dużego balkonu.

Mieszkanie znajduje się na pierwszym piętrze na spokojnym osiedlu w bliskim sąsiedztwie Uniwersytetu Medycznego oraz Ekonomicznego. 
W pobliżu przystanki tramwajowe i autobusowe - bezpośredni dojazd do centrum.

Mieszkanie posiada trzy szafy wnękowe i kuchnię w zabudowie wraz z sprzętem AGD oraz urządzony przedpokój. Pokoje bez umeblowania. 

Dostępne od 11 Marca

Wynajem tylko bezpośredni.",Wandy Rutkiewicz
" pok * Rozkład *Krzyki/Gaj

Lokalizacja: Krzyki/Gaj
Ilość pokoi:2
Metraż: 40 m2
Kuchnia: aneks
Piętro: 1
Informacje dodatkowe: wolne od zaraz

OPIS NIERUCHOMOŚCI :Do wynajęcia mieszkanie dwupokojowe w okolicach ulicy himalajskiej . Mieszkanie składa się z kuchni, salonu , sypialni , łazienki, korytarza . Pokoje są w pełni umeblowane(w salonie TV) , kuchnia wyposażona w sprzęt AGD (ZMYWARKA ,piekarnik, lodówka , pralka )

LOKALIZACJA: Mieszkanie znajduje się w świetnej lokalizacji. Blisko przystanek autobusowy , tramwajowy . W pobliżu liczne sklepy spożywcze , restauracje, Galeria Ferio Gaj.

DODATKOWE ATUTY: Nieruchomość umeblowana, okolica spokojna .

DODATKOWE OPŁATY: czynsz 400 zł plus prąd

Zapraszam na prezentację!

Małgorzata Filipiak
514 - 487-788

AG Nieruchomości
50-576 Wrocław,
ul. Czerniawska 2B/23

Niniejsza oferta nie stanowi oferty w rozumieniu przepisów Kodeksu Cywilnego, a dane w niej zawarte mają jedynie charakter informacyjny i mogą ulec zmianie. Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Anna Grabowska (numer licencji: 19969)",Himalajska
"Do wynajęcia, w cichej i spokojnej okolicy słoneczna, rozkładowa, umeblowana, wyposażona w meble i sprzęt AGD (lodówka, zmywarka, kuchenka mikrofalowa, pralka, TV) kawalerka 25m2 (pokój z widnym aneksem kuchennym., przedpokój, łazienka z wanną), na X piętrze (nowa winda), w bloku przy ul. Ścinawskiej.

Dodatkowo płatne: czynsz do Spółdzielni Mieszkaniowej i media (prąd, gaz ogrzewanie ,woda).

Blisko Rynku i przystanków komunikacji miejskiej.

Kaucja zwrotna: 2000 zł",Ścinawska
"Do wynajęcia , bezpośrednio, od zaraz, kawalerka 34 m2 z aneksem kuchennym w pełni umeblowana i wyposażona w sprzęt AGD( pralka, lodówka), co miejskie, 4p. (winda), centrum Wrocławia - okolice pl. Grunwaldzkiego , blisko do wrocławskich uczelni ( Politechnika, Uniwersytet), dobre połączenia komunikacji miejskiej- co najmniej na rok",Grunwaldzki
"Wynajmę pokój ok. 10,5 m/2, 11,5 lub ok. 8 m2 - z balkonem ( do wyboru) w mieszkaniu przy ul. Kazimierskiej na Biskupinie we Wrocławiu studentce lub studentowi.
Mieszkanie mieści się na 1 piętrze 10 piętrowego, ocieplonego bloku.
Jest to spokojna, zielona dzielnica Wrocławia świetnie skomunikowana: 80 m do przystanku tramwajowego (4 linie tramwajowe: 1,2,4,10 (do placu Grunwaldzkiego 7 min.) oraz autobus, trasy rowerowe do centrum i spacerowe. W najbliższej okolicy park i tereny rekreacyjne nad Odrą. 
Przy budynku jest duży parking , blisko do większości uczelni wyższych: Politechnika Wrocławska, Uniwersytet Przyrodniczy, Uniwersytet Medyczny, Akademia Wychowania Fizycznego. 
Blisko przychodnia, sklepy, apteka, Biedronka, targowiska, banki, tereny rekreacyjne: ZOO, Park Szczytnicki i Wyspa Opatowicka.

Opis mieszkania:
- Metraż 67 m/2, w pełni rozkładowe o wysokim standardzie.
- Ogrzewanie miejskie, ciepła woda miejska.
- Szybki Internet, telewizor w kuchni.
- Wszystkie pomieszczenia (4 pokoje, kuchnia, łazienka z kabiną i wc + osobne wc, balkon, spiżarnia- pomieszczenie gospodarcze, spory przedpokój) po kapitalnym remoncie.

Do każdego pomieszczenia wchodzi się bezpośrednio z przedpokoju.

- Kuchnia - z wyspą i dużym telewizorem. Sprzęty i meble nowe (mikrofalówka, zmywarka, kuchenka gazowa z zabezpieczeniami, duża lodówka, ekspres do kawy, zamontowane do ściany dwa składane stoły.
Kuchnia w pełni wyposażona w nowe naczynia (oprócz patelni).

- Łazienka z wc + osobne wc, - Wszystkie sprzęty i meble w obu łazienkach nowe (pralka, kabina prysznicowa, umywalki, bidetki przy obu sedesach).

- Spiżarnia- pomieszczenie gospodarcze: szafki, półki, 2 wysuwane kosze, suszarki stojące 4 szt., żelazko, odkurzacz, deska do prasowania, wieszaki na szczotki, miejsce na parasole, ubrania.

- spory przedpokój: przesuwna garderoba na ubrania z czterema wysuwanymi koszami na obuwie, siedzisko do przebrania obuwia i miejscem na buty dla gości. 

Czynsz za pokój miesięcznie - 1050,- zł. 
Zaliczka na media miesięcznie - 200,- zł. - do rozliczenia,
Kaucja zwrotna - 1500,- zł.

Wynajmujemy bez pośredników.
Jeśli o czymś zapomniałam proszę dzwonić.",Kazimierska
"Do wynajęcia mieszkanie o pow. 48 mkw przy ul. Żmudzkiej. Składa się z pokoju połączonego z kuchnią, oddzielnego pokoju, garderoby, łazienki i odrębnego wc. Mieszkanie dodatkowo posiada dużą zbudowaną logie z widokiem na zielone podwórze. Jeden pokój nie jest umeblowany (możliwość umeblowania według potrzeb najemcy). W mieszkaniu znajduje się pralka, lodówka, zmywarka, piekarnik. Wszystkie media miejskie. Klatka schodowa wyremontowana, budynek ocieplony. Na przeciwko znajduje sie przystanek komunikacji miejskiej, a w promieniu 200 m liczne sklepy Tesco, Biedronka, Rossmann. Zapraszam na prezentacje Mariusz 537400156",Żmudzka
